Assembly Accession	first_two_words
GCF_000007985.2	Geobacter sulfurreducens
GCF_000009085.1	Campylobacter jejuni
GCF_000009465.1	Neisseria meningitidis
GCF_000012185.1	Haemophilus influenzae
GCF_000014105.1	Neisseria meningitidis
GCF_000019305.1	Clostridium botulinum
GCF_000019545.1	Clostridium botulinum
GCF_000021885.1	Glaesserella parasuis
GCF_000025425.1	Campylobacter jejuni
GCF_000026345.1	Escherichia coli
GCF_000026965.1	Neisseria meningitidis
GCF_000092545.1	Legionella pneumophila
GCF_000092625.1	Legionella pneumophila
GCF_000152165.1	Neisseria meningitidis
GCF_000165575.1	Haemophilus influenzae
GCF_000191425.1	Neisseria meningitidis
GCF_000191445.1	Neisseria meningitidis
GCF_000191465.1	Neisseria meningitidis
GCF_000191485.1	Neisseria meningitidis
GCF_000191505.1	Neisseria meningitidis
GCF_000193205.1	Aerococcus sp.
GCF_000196495.1	Aliivibrio salmonicida
GCF_000197735.1	Glutamicibacter arilaitensis
GCF_000200475.1	Haemophilus influenzae
GCF_000200595.1	Helicobacter felis
GCF_000210895.1	Haemophilus parainfluenzae
GCF_000226275.2	Acinetobacter baumannii
GCF_000253195.1	Clostridium botulinum
GCF_000302555.5	Campylobacter jejuni
GCF_000304375.1	Campylobacter jejuni
GCF_000306845.1	Legionella pneumophila
GCF_000306865.1	Legionella pneumophila
GCF_000348785.1	Ilumatobacter coccineus
GCF_000419405.1	Acinetobacter baumannii
GCF_000466065.2	Campylobacter jejuni
GCF_000466075.2	Campylobacter jejuni
GCF_000466105.2	Campylobacter jejuni
GCF_000466925.3	Campylobacter jejuni
GCF_000468915.2	Campylobacter jejuni
GCF_000521605.1	Mannheimia sp.
GCF_000521685.1	Mannheimia varigena
GCF_000698365.1	Haemophilus influenzae
GCF_000740985.1	Glaesserella parasuis
GCF_000743945.1	Basilea psittacipulmonis
GCF_000759575.2	Campylobacter jejuni
GCF_000767075.1	Haemophilus influenzae
GCF_000787195.2	Neisseria meningitidis
GCF_000800235.1	Neisseria meningitidis
GCF_000800315.1	Neisseria meningitidis
GCF_000800355.1	Neisseria meningitidis
GCF_000801145.1	Actinobacillus equuli
GCF_000819525.2	Mannheimia haemolytica
GCF_000829015.1	Clostridium botulinum
GCF_000830775.1	Campylobacter jejuni
GCF_000830805.1	Campylobacter jejuni
GCF_000830825.1	Campylobacter jejuni
GCF_000830845.1	Campylobacter jejuni
GCF_000830865.1	Campylobacter jejuni
GCF_000835345.1	Campylobacter jejuni
GCF_000835365.1	Campylobacter jejuni
GCF_000931575.1	Haemophilus influenzae
GCF_000931625.1	Haemophilus influenzae
GCF_000969315.2	Avibacterium paragallinarum
GCF_001029815.1	Neisseria meningitidis
GCF_001299565.1	Campylobacter jejuni
GCF_001299595.1	Campylobacter jejuni
GCF_001302565.1	Glutamicibacter halophytocola
GCF_001314285.1	Campylobacter jejuni
GCF_001454985.1	Arthrobacter sp.
GCF_001457555.1	Fusobacterium polymorphum
GCF_001457655.1	Haemophilus influenzae
GCF_001483965.1	Carnobacterium sp.
GCF_001543175.1	Aerococcus urinae
GCF_001578145.1	Acinetobacter baumannii
GCF_001587015.1	Campylobacter jejuni
GCF_001587035.1	Campylobacter jejuni
GCF_001590615.2	Legionella pneumophila
GCF_001590645.1	Legionella pneumophila
GCF_001590695.1	Legionella pneumophila
GCF_001606005.1	Brevibacterium linens
GCF_001643995.1	Campylobacter iguaniorum
GCF_001647695.1	[Haemophilus] ducreyi
GCF_001647815.1	[Haemophilus] ducreyi
GCF_001647835.1	[Haemophilus] ducreyi
GCF_001652645.1	Legionella pneumophila
GCF_001652665.1	Legionella pneumophila
GCF_001652685.1	Legionella pneumophila
GCF_001677115.2	Legionella pneumophila
GCF_001687475.2	Campylobacter hepaticus
GCF_001697105.1	Neisseria meningitidis
GCF_001697125.1	Neisseria meningitidis
GCF_001697165.1	Neisseria meningitidis
GCF_001697205.1	Neisseria meningitidis
GCF_001697305.1	Neisseria meningitidis
GCF_001697325.1	Neisseria meningitidis
GCF_001697345.1	Neisseria meningitidis
GCF_001697365.1	Neisseria meningitidis
GCF_001697385.1	Neisseria meningitidis
GCF_001697405.1	Neisseria meningitidis
GCF_001697425.1	Neisseria meningitidis
GCF_001697445.1	Neisseria meningitidis
GCF_001697465.1	Neisseria meningitidis
GCF_001697485.1	Neisseria meningitidis
GCF_001697505.1	Neisseria meningitidis
GCF_001697525.1	Neisseria meningitidis
GCF_001697545.1	Neisseria meningitidis
GCF_001697565.1	Neisseria meningitidis
GCF_001697585.1	Neisseria meningitidis
GCF_001697605.1	Neisseria meningitidis
GCF_001697625.1	Neisseria meningitidis
GCF_001697645.1	Neisseria meningitidis
GCF_001697665.1	Neisseria meningitidis
GCF_001697685.1	Neisseria meningitidis
GCF_001697705.1	Neisseria meningitidis
GCF_001697725.1	Neisseria meningitidis
GCF_001697745.1	Neisseria meningitidis
GCF_001697765.1	Neisseria meningitidis
GCF_001697785.1	Neisseria meningitidis
GCF_001697805.1	Neisseria meningitidis
GCF_001697825.1	Neisseria meningitidis
GCF_001697845.1	Neisseria meningitidis
GCF_001697865.1	Neisseria meningitidis
GCF_001697885.1	Neisseria meningitidis
GCF_001697905.1	Neisseria meningitidis
GCF_001697925.1	Neisseria meningitidis
GCF_001697945.1	Neisseria meningitidis
GCF_001697965.1	Neisseria meningitidis
GCF_001697985.1	Neisseria meningitidis
GCF_001698005.1	Neisseria meningitidis
GCF_001698025.1	Neisseria meningitidis
GCF_001698045.1	Neisseria meningitidis
GCF_001698065.1	Neisseria meningitidis
GCF_001698085.1	Neisseria meningitidis
GCF_001698105.1	Neisseria meningitidis
GCF_001721945.1	Campylobacter jejuni
GCF_001729525.1	Brevibacterium aurantiacum
GCF_001854205.2	Moorena producens
GCF_001886795.1	Legionella pneumophila
GCF_001886835.1	Legionella pneumophila
GCF_001889265.1	Microbacterium sp.
GCF_001921945.1	Clostridium botulinum
GCF_001921965.1	Clostridium botulinum
GCF_001921985.1	Clostridium botulinum
GCF_001951235.1	Campylobacter jejuni
GCF_001951295.1	Campylobacter jejuni
GCF_001951315.1	Campylobacter jejuni
GCF_001951335.1	Campylobacter jejuni
GCF_001969405.1	Legionella pneumophila
GCF_001989475.1	Legionella pneumophila
GCF_002011945.1	Escherichia coli
GCF_002073235.2	Neisseria meningitidis
GCF_002073275.2	Neisseria meningitidis
GCF_002073475.2	Haemophilus influenzae
GCF_002073555.2	Neisseria meningitidis
GCF_002073595.2	Neisseria meningitidis
GCF_002101355.1	Campylobacter jejuni
GCF_002139895.1	Campylobacter vicugnae
GCF_002209025.1	Campylobacter jejuni
GCF_002224325.1	Campylobacter jejuni
GCF_002356155.1	Microbacterium sp.
GCF_002556585.1	Neisseria meningitidis
GCF_002587105.1	Campylobacter jejuni
GCF_002777395.1	Glaesserella parasuis
GCF_002813715.1	Legionella pneumophila
GCF_002813735.1	Legionella pneumophila
GCF_002849715.1	Crystallibacter crystallopoietes
GCF_002849775.1	Glaesserella sp.
GCF_002850575.1	Enterobacter cancerogenus
GCF_002865805.1	Clostridium botulinum
GCF_002865825.1	Clostridium botulinum
GCF_002865885.1	Clostridium botulinum
GCF_002866045.1	Clostridium botulinum
GCF_002866125.1	Clostridium botulinum
GCF_002866225.1	Clostridium botulinum
GCF_002934285.1	Aeromonas sp.
GCF_002951575.1	Neisseria meningitidis
GCF_002966615.1	Haemophilus influenzae
GCF_002966635.1	Haemophilus influenzae
GCF_002993305.1	Microbacterium sp.
GCF_002998595.1	Haemophilus sp.
GCF_003003535.1	Legionella pneumophila
GCF_003003555.1	Legionella pneumophila
GCF_003003595.1	Legionella pneumophila
GCF_003003675.1	Legionella pneumophila
GCF_003003815.1	Legionella pneumophila
GCF_003003865.1	Legionella pneumophila
GCF_003004115.1	Legionella pneumophila
GCF_003004175.1	Legionella pneumophila
GCF_003004195.1	Legionella pneumophila
GCF_003004235.1	Legionella pneumophila
GCF_003004255.1	Legionella pneumophila
GCF_003004295.1	Legionella pneumophila
GCF_003019695.1	Fusobacterium gonidiaformans
GCF_003060725.1	Campylobacter jejuni
GCF_003060745.1	Campylobacter jejuni
GCF_003060785.1	Campylobacter jejuni
GCF_003097535.1	Flavobacterium pallidum
GCF_003253795.1	Hafnia alvei
GCF_003261035.1	Mannheimia varigena
GCF_003286595.3	Aerococcus mictus
GCF_003287015.1	Moraxella bovis
GCF_003288155.1	Glaesserella parasuis
GCF_003351405.1	Haemophilus haemolyticus
GCF_003351445.1	Haemophilus influenzae
GCF_003351605.1	Haemophilus influenzae
GCF_003351625.1	Haemophilus haemolyticus
GCF_003352345.1	Haemophilus influenzae
GCF_003352365.1	Haemophilus influenzae
GCF_003352385.1	Haemophilus haemolyticus
GCF_003352405.1	Haemophilus influenzae
GCF_003355215.1	Neisseria meningitidis
GCF_003355235.1	Neisseria meningitidis
GCF_003355255.1	Neisseria meningitidis
GCF_003355275.1	Neisseria meningitidis
GCF_003355315.1	Neisseria meningitidis
GCF_003355335.1	Neisseria meningitidis
GCF_003355375.1	Neisseria meningitidis
GCF_003355395.1	Neisseria meningitidis
GCF_003355415.1	Neisseria meningitidis
GCF_003355435.1	Neisseria meningitidis
GCF_003425505.1	Haemophilus influenzae
GCF_003425525.1	Haemophilus influenzae
GCF_003425565.1	Haemophilus influenzae
GCF_003425585.1	Haemophilus influenzae
GCF_003425605.1	Haemophilus influenzae
GCF_003425715.1	Haemophilus influenzae
GCF_003425935.1	Haemophilus influenzae
GCF_003425955.1	Haemophilus influenzae
GCF_003443515.1	Chromobacterium rhizoryzae
GCF_003574175.1	Geobacter sulfurreducens
GCF_003860385.1	Escherichia albertii
GCF_003864155.1	Avibacterium paragallinarum
GCF_003932995.1	Brevibacterium aurantiacum
GCF_003952785.1	Acinetobacter johnsonii
GCF_003991855.1	Microbacterium oxydans
GCF_003999295.1	Brevibacterium aurantiacum
GCF_003999335.1	Brevibacterium linens
GCF_004135285.1	Microbacterium protaetiae
GCF_004322655.1	Bacillus sp.
GCF_004519515.1	Actinobacillus indolicus
GCF_004684345.1	Citrobacter tructae
GCF_004795855.1	Hydrogenophaga sp.
GCF_006351845.1	Enterococcus faecium
GCF_006385575.1	Microbacterium foliorum
GCF_007833395.1	Clostridium botulinum
GCF_007833415.1	Clostridium botulinum
GCF_007833455.1	Clostridium botulinum
GCF_007964805.1	Mannheimia haemolytica
GCF_007965105.1	Mannheimia haemolytica
GCF_007973265.1	Mannheimia haemolytica
GCF_007973365.1	Mannheimia haemolytica
GCF_007973645.1	Mannheimia haemolytica
GCF_007973825.1	Mannheimia haemolytica
GCF_007974025.1	Mannheimia haemolytica
GCF_007974045.1	Mannheimia haemolytica
GCF_007974065.1	Mannheimia haemolytica
GCF_007974105.1	Mannheimia haemolytica
GCF_007974125.1	Mannheimia haemolytica
GCF_007974145.1	Mannheimia haemolytica
GCF_007974165.1	Mannheimia haemolytica
GCF_007974375.1	Mannheimia haemolytica
GCF_007974525.1	Mannheimia haemolytica
GCF_007974745.1	Mannheimia haemolytica
GCF_007974925.1	Mannheimia haemolytica
GCF_007975085.1	Mannheimia haemolytica
GCF_007975365.1	Mannheimia haemolytica
GCF_007975575.1	Mannheimia haemolytica
GCF_007976445.1	Mannheimia haemolytica
GCF_007976625.1	Mannheimia haemolytica
GCF_007976765.1	Mannheimia haemolytica
GCF_007976905.1	Mannheimia haemolytica
GCF_007977085.1	Mannheimia haemolytica
GCF_007977225.1	Mannheimia haemolytica
GCF_007977495.1	Mannheimia haemolytica
GCF_007977645.1	Mannheimia haemolytica
GCF_007977825.1	Mannheimia haemolytica
GCF_007978045.1	Mannheimia haemolytica
GCF_007978185.1	Mannheimia haemolytica
GCF_007978365.1	Mannheimia haemolytica
GCF_007979065.1	Mannheimia haemolytica
GCF_007979525.1	Mannheimia haemolytica
GCF_007979665.1	Mannheimia haemolytica
GCF_008271365.1	Microbacterium sp.
GCF_008330025.1	Haemophilus parahaemolyticus
GCF_008330745.1	Neisseria meningitidis
