Assembly Accession	label_type	COR_PHYLUM
GCF_000007985.2_protein	label_background	#dd1c77
GCF_000009085.1_protein	label_background	#fbb4b9
GCF_000009465.1_protein	label_background	#feebe2
GCF_000012185.1_protein	label_background	#feebe2
GCF_000014105.1_protein	label_background	#feebe2
GCF_000019305.1_protein	label_background	#f768a1
GCF_000019545.1_protein	label_background	#f768a1
GCF_000021885.1_protein	label_background	#feebe2
GCF_000025425.1_protein	label_background	#fbb4b9
GCF_000026345.1_protein	label_background	#feebe2
GCF_000026965.1_protein	label_background	#feebe2
GCF_000092545.1_protein	label_background	#feebe2
GCF_000092625.1_protein	label_background	#feebe2
GCF_000152165.1_protein	label_background	#feebe2
GCF_000165575.1_protein	label_background	#feebe2
GCF_000191425.1_protein	label_background	#feebe2
GCF_000191445.1_protein	label_background	#feebe2
GCF_000191465.1_protein	label_background	#feebe2
GCF_000191485.1_protein	label_background	#feebe2
GCF_000191505.1_protein	label_background	#feebe2
GCF_000193205.1_protein	label_background	#f768a1
GCF_000196495.1_protein	label_background	#feebe2
GCF_000197735.1_protein	label_background	#980043
GCF_000200475.1_protein	label_background	#feebe2
GCF_000200595.1_protein	label_background	#fbb4b9
GCF_000210895.1_protein	label_background	#feebe2
GCF_000226275.2_protein	label_background	#feebe2
GCF_000253195.1_protein	label_background	#f768a1
GCF_000302555.5_protein	label_background	#fbb4b9
GCF_000304375.1_protein	label_background	#fbb4b9
GCF_000306845.1_protein	label_background	#feebe2
GCF_000306865.1_protein	label_background	#feebe2
GCF_000348785.1_protein	label_background	#980043
GCF_000419405.1_protein	label_background	#feebe2
GCF_000466065.2_protein	label_background	#fbb4b9
GCF_000466075.2_protein	label_background	#fbb4b9
GCF_000466105.2_protein	label_background	#fbb4b9
GCF_000466925.3_protein	label_background	#fbb4b9
GCF_000468915.2_protein	label_background	#fbb4b9
GCF_000521605.1_protein	label_background	#feebe2
GCF_000521685.1_protein	label_background	#feebe2
GCF_000698365.1_protein	label_background	#feebe2
GCF_000740985.1_protein	label_background	#feebe2
GCF_000743945.1_protein	label_background	#feebe2
GCF_000759575.2_protein	label_background	#fbb4b9
GCF_000767075.1_protein	label_background	#feebe2
GCF_000787195.2_protein	label_background	#feebe2
GCF_000800235.1_protein	label_background	#feebe2
GCF_000800315.1_protein	label_background	#feebe2
GCF_000800355.1_protein	label_background	#feebe2
GCF_000801145.1_protein	label_background	#feebe2
GCF_000819525.2_protein	label_background	#feebe2
GCF_000829015.1_protein	label_background	#f768a1
GCF_000830775.1_protein	label_background	#fbb4b9
GCF_000830805.1_protein	label_background	#fbb4b9
GCF_000830825.1_protein	label_background	#fbb4b9
GCF_000830845.1_protein	label_background	#fbb4b9
GCF_000830865.1_protein	label_background	#fbb4b9
GCF_000835345.1_protein	label_background	#fbb4b9
GCF_000835365.1_protein	label_background	#fbb4b9
GCF_000931575.1_protein	label_background	#feebe2
GCF_000931625.1_protein	label_background	#feebe2
GCF_000969315.2_protein	label_background	#feebe2
GCF_001029815.1_protein	label_background	#feebe2
GCF_001299565.1_protein	label_background	#fbb4b9
GCF_001299595.1_protein	label_background	#fbb4b9
GCF_001302565.1_protein	label_background	#980043
GCF_001314285.1_protein	label_background	#fbb4b9
GCF_001454985.1_protein	label_background	#980043
GCF_001457555.1_protein	label_background	#c51b8a
GCF_001457655.1_protein	label_background	#feebe2
GCF_001483965.1_protein	label_background	#f768a1
GCF_001543175.1_protein	label_background	#f768a1
GCF_001578145.1_protein	label_background	#feebe2
GCF_001587015.1_protein	label_background	#fbb4b9
GCF_001587035.1_protein	label_background	#fbb4b9
GCF_001590615.2_protein	label_background	#feebe2
GCF_001590645.1_protein	label_background	#feebe2
GCF_001590695.1_protein	label_background	#feebe2
GCF_001606005.1_protein	label_background	#980043
GCF_001643995.1_protein	label_background	#fbb4b9
GCF_001647695.1_protein	label_background	#feebe2
GCF_001647815.1_protein	label_background	#feebe2
GCF_001647835.1_protein	label_background	#feebe2
GCF_001652645.1_protein	label_background	#feebe2
GCF_001652665.1_protein	label_background	#feebe2
GCF_001652685.1_protein	label_background	#feebe2
GCF_001677115.2_protein	label_background	#feebe2
GCF_001687475.2_protein	label_background	#fbb4b9
GCF_001697105.1_protein	label_background	#feebe2
GCF_001697125.1_protein	label_background	#feebe2
GCF_001697165.1_protein	label_background	#feebe2
GCF_001697205.1_protein	label_background	#feebe2
GCF_001697305.1_protein	label_background	#feebe2
GCF_001697325.1_protein	label_background	#feebe2
GCF_001697345.1_protein	label_background	#feebe2
GCF_001697365.1_protein	label_background	#feebe2
GCF_001697385.1_protein	label_background	#feebe2
GCF_001697405.1_protein	label_background	#feebe2
GCF_001697425.1_protein	label_background	#feebe2
GCF_001697445.1_protein	label_background	#feebe2
GCF_001697465.1_protein	label_background	#feebe2
GCF_001697485.1_protein	label_background	#feebe2
GCF_001697505.1_protein	label_background	#feebe2
GCF_001697525.1_protein	label_background	#feebe2
GCF_001697545.1_protein	label_background	#feebe2
GCF_001697565.1_protein	label_background	#feebe2
GCF_001697585.1_protein	label_background	#feebe2
GCF_001697605.1_protein	label_background	#feebe2
GCF_001697625.1_protein	label_background	#feebe2
GCF_001697645.1_protein	label_background	#feebe2
