Sequence	GCF_ID	Part1	level
GCF_000006825.1_ASM682v1_genomic.fna	GCF_000006825.1	GCF_000006825.1_protein	#50C878
GCF_000007265.1_ASM726v1_genomic.fna	GCF_000007265.1	GCF_000007265.1_protein	#50C878
GCF_000007945.1_ASM794v1_genomic.fna	GCF_000007945.1	GCF_000007945.1_protein	#50C878
GCF_000007985.2_ASM798v2_genomic.fna	GCF_000007985.2	GCF_000007985.2_protein	#50C878
GCF_000008465.1_ASM846v1_genomic.fna	GCF_000008465.1	GCF_000008465.1_protein	#50C878
GCF_000008485.1_ASM848v1_genomic.fna	GCF_000008485.1	GCF_000008485.1_protein	#50C878
GCF_000008805.1_ASM880v1_genomic.fna	GCF_000008805.1	GCF_000008805.1_protein	#50C878
GCF_000009085.1_ASM908v1_genomic.fna	GCF_000009085.1	GCF_000009085.1_protein	#50C878
GCF_000009305.1_ASM930v1_genomic.fna	GCF_000009305.1	GCF_000009305.1_protein	#50C878
GCF_000009465.1_ASM946v1_genomic.fna	GCF_000009465.1	GCF_000009465.1_protein	#50C878
GCF_000009765.2_ASM976v2_genomic.fna	GCF_000009765.2	GCF_000009765.2_protein	#50C878
GCF_000010605.1_ASM1060v1_genomic.fna	GCF_000010605.1	GCF_000010605.1_protein	#50C878
GCF_000012185.1_ASM1218v1_genomic.fna	GCF_000012185.1	GCF_000012185.1_protein	#50C878
GCF_000013265.1_ASM1326v1_genomic.fna	GCF_000013265.1	GCF_000013265.1_protein	#50C878
GCF_000014105.1_ASM1410v1_genomic.fna	GCF_000014105.1	GCF_000014105.1_protein	#50C878
GCF_000014845.1_ASM1484v1_genomic.fna	GCF_000014845.1	GCF_000014845.1_protein	#50C878
GCF_000014885.1_ASM1488v1_genomic.fna	GCF_000014885.1	GCF_000014885.1_protein	#50C878
GCF_000015525.1_ASM1552v1_genomic.fna	GCF_000015525.1	GCF_000015525.1_protein	#50C878
GCF_000017025.1_ASM1702v1_genomic.fna	GCF_000017025.1	GCF_000017025.1_protein	#50C878
GCF_000017045.1_ASM1704v1_genomic.fna	GCF_000017045.1	GCF_000017045.1_protein	#50C878
GCF_000017065.1_ASM1706v1_genomic.fna	GCF_000017065.1	GCF_000017065.1_protein	#50C878
GCF_000018185.1_ASM1818v1_genomic.fna	GCF_000018185.1	GCF_000018185.1_protein	#50C878
GCF_000019305.1_ASM1930v1_genomic.fna	GCF_000019305.1	GCF_000019305.1_protein	#50C878
GCF_000019405.1_ASM1940v1_genomic.fna	GCF_000019405.1	GCF_000019405.1_protein	#50C878
GCF_000019545.1_ASM1954v1_genomic.fna	GCF_000019545.1	GCF_000019545.1_protein	#50C878
GCF_000019645.1_ASM1964v1_genomic.fna	GCF_000019645.1	GCF_000019645.1_protein	#50C878
GCF_000020345.1_ASM2034v1_genomic.fna	GCF_000020345.1	GCF_000020345.1_protein	#50C878
GCF_000021885.1_ASM2188v1_genomic.fna	GCF_000021885.1	GCF_000021885.1_protein	#50C878
GCF_000022765.1_ASM2276v1_genomic.fna	GCF_000022765.1	GCF_000022765.1_protein	#50C878
GCF_000024825.1_ASM2482v1_genomic.fna	GCF_000024825.1	GCF_000024825.1_protein	#50C878
GCF_000025425.1_ASM2542v1_genomic.fna	GCF_000025425.1	GCF_000025425.1_protein	#50C878
GCF_000025745.1_ASM2574v1_genomic.fna	GCF_000025745.1	GCF_000025745.1_protein	#50C878
GCF_000026285.1_ASM2628v2_genomic.fna	GCF_000026285.1	GCF_000026285.1_protein	#50C878
GCF_000026345.1_ASM2634v1_genomic.fna	GCF_000026345.1	GCF_000026345.1_protein	#50C878
GCF_000026725.1_ASM2672v1_genomic.fna	GCF_000026725.1	GCF_000026725.1_protein	#50C878
GCF_000026745.1_ASM2674v1_genomic.fna	GCF_000026745.1	GCF_000026745.1_protein	#50C878
GCF_000026965.1_ASM2696v1_genomic.fna	GCF_000026965.1	GCF_000026965.1_protein	#50C878
GCF_000048645.1_ASM4864v1_genomic.fna	GCF_000048645.1	GCF_000048645.1_protein	#50C878
GCF_000048665.1_ASM4866v1_genomic.fna	GCF_000048665.1	GCF_000048665.1_protein	#50C878
GCF_000063585.1_ASM6358v1_genomic.fna	GCF_000063585.1	GCF_000063585.1_protein	#50C878
GCF_000091305.1_ASM9130v1_genomic.fna	GCF_000091305.1	GCF_000091305.1_protein	#50C878
GCF_000091905.1_ASM9190v1_genomic.fna	GCF_000091905.1	GCF_000091905.1_protein	#50C878
GCF_000091985.1_ASM9198v1_genomic.fna	GCF_000091985.1	GCF_000091985.1_protein	#50C878
GCF_000092345.1_ASM9234v1_genomic.fna	GCF_000092345.1	GCF_000092345.1_protein	#50C878
GCF_000092385.1_ASM9238v1_genomic.fna	GCF_000092385.1	GCF_000092385.1_protein	#50C878
GCF_000092545.1_ASM9254v1_genomic.fna	GCF_000092545.1	GCF_000092545.1_protein	#50C878
GCF_000092625.1_ASM9262v1_genomic.fna	GCF_000092625.1	GCF_000092625.1_protein	#50C878
GCF_000147815.2_ASM14781v3_genomic.fna	GCF_000147815.2	GCF_000147815.2_protein	#50C878
GCF_000148585.2_ASM14858v3_genomic.fna	GCF_000148585.2	GCF_000148585.2_protein	#50C878
GCF_000148605.1_ASM14860v1_genomic.fna	GCF_000148605.1	GCF_000148605.1_protein	#50C878
GCF_000148915.1_ASM14891v1_genomic.fna	GCF_000148915.1	GCF_000148915.1_protein	#50C878
GCF_000152165.1_ASM15216v1_genomic.fna	GCF_000152165.1	GCF_000152165.1_protein	#50C878
GCF_000165525.1_ASM16552v1_genomic.fna	GCF_000165525.1	GCF_000165525.1_protein	#50C878
GCF_000165575.1_ASM16557v1_genomic.fna	GCF_000165575.1	GCF_000165575.1_protein	#50C878
GCF_000168355.3_ASM16835v3_genomic.fna	GCF_000168355.3	GCF_000168355.3_protein	#50C878
GCF_000177195.2_ASM17719v2_genomic.fna	GCF_000177195.2	GCF_000177195.2_protein	#50C878
GCF_000186405.1_ASM18640v1_genomic.fna	GCF_000186405.1	GCF_000186405.1_protein	#50C878
GCF_000191425.1_ASM19142v1_genomic.fna	GCF_000191425.1	GCF_000191425.1_protein	#50C878
GCF_000191445.1_ASM19144v1_genomic.fna	GCF_000191445.1	GCF_000191445.1_protein	#50C878
GCF_000191465.1_ASM19146v1_genomic.fna	GCF_000191465.1	GCF_000191465.1_protein	#50C878
GCF_000191485.1_ASM19148v1_genomic.fna	GCF_000191485.1	GCF_000191485.1_protein	#50C878
GCF_000191505.1_ASM19150v1_genomic.fna	GCF_000191505.1	GCF_000191505.1_protein	#50C878
GCF_000191525.1_ASM19152v1_genomic.fna	GCF_000191525.1	GCF_000191525.1_protein	#50C878
GCF_000193205.1_ASM19320v1_genomic.fna	GCF_000193205.1	GCF_000193205.1_protein	#50C878
GCF_000196095.1_ASM19609v1_genomic.fna	GCF_000196095.1	GCF_000196095.1_protein	#50C878
GCF_000196495.1_ASM19649v1_genomic.fna	GCF_000196495.1	GCF_000196495.1_protein	#50C878
GCF_000197735.1_ASM19773v1_genomic.fna	GCF_000197735.1	GCF_000197735.1_protein	#50C878
GCF_000197875.1_ASM19787v1_genomic.fna	GCF_000197875.1	GCF_000197875.1_protein	#50C878
GCF_000200475.1_ASM20047v1_genomic.fna	GCF_000200475.1	GCF_000200475.1_protein	#50C878
GCF_000200595.1_ASM20059v1_genomic.fna	GCF_000200595.1	GCF_000200595.1_protein	#50C878
GCF_000210875.1_ASM21087v1_genomic.fna	GCF_000210875.1	GCF_000210875.1_protein	#50C878
GCF_000210895.1_ASM21089v1_genomic.fna	GCF_000210895.1	GCF_000210895.1_protein	#50C878
GCF_000219415.3_ASM21941v3_genomic.fna	GCF_000219415.3	GCF_000219415.3_protein	#50C878
GCF_000220705.2_ASM22070v2_genomic.fna	GCF_000220705.2	GCF_000220705.2_protein	#50C878
GCF_000224535.1_ASM22453v1_genomic.fna	GCF_000224535.1	GCF_000224535.1_protein	#50C878
GCF_000224555.1_ASM22455v1_genomic.fna	GCF_000224555.1	GCF_000224555.1_protein	#50C878
GCF_000226275.2_ASM22627v2_genomic.fna	GCF_000226275.2	GCF_000226275.2_protein	#50C878
GCF_000227665.2_ASM22766v3_genomic.fna	GCF_000227665.2	GCF_000227665.2_protein	#50C878
GCF_000231865.1_ASM23186v1_genomic.fna	GCF_000231865.1	GCF_000231865.1_protein	#50C878
GCF_000231925.1_ASM23192v1_genomic.fna	GCF_000231925.1	GCF_000231925.1_protein	#50C878
GCF_000233575.1_ASM23357v1_genomic.fna	GCF_000233575.1	GCF_000233575.1_protein	#50C878
GCF_000234745.1_ASM23474v1_genomic.fna	GCF_000234745.1	GCF_000234745.1_protein	#50C878
GCF_000239175.1_ASM23917v1_genomic.fna	GCF_000239175.1	GCF_000239175.1_protein	#50C878
GCF_000253195.1_ASM25319v1_genomic.fna	GCF_000253195.1	GCF_000253195.1_protein	#50C878
GCF_000255915.1_ASM25591v1_genomic.fna	GCF_000255915.1	GCF_000255915.1_protein	#50C878
GCF_000259255.1_ASM25925v1_genomic.fna	GCF_000259255.1	GCF_000259255.1_protein	#50C878
GCF_000259275.1_ASM25927v1_genomic.fna	GCF_000259275.1	GCF_000259275.1_protein	#50C878
GCF_000259545.1_ASM25954v1_genomic.fna	GCF_000259545.1	GCF_000259545.1_protein	#50C878
GCF_000261345.2_ASM26134v2_genomic.fna	GCF_000261345.2	GCF_000261345.2_protein	#50C878
GCF_000277365.1_ASM27736v1_genomic.fna	GCF_000277365.1	GCF_000277365.1_protein	#50C878
GCF_000277385.1_ASM27738v1_genomic.fna	GCF_000277385.1	GCF_000277385.1_protein	#50C878
GCF_000280865.2_ASM28086v2_genomic.fna	GCF_000280865.2	GCF_000280865.2_protein	#50C878
GCF_000294495.1_ASM29449v1_genomic.fna	GCF_000294495.1	GCF_000294495.1_protein	#50C878
GCF_000302555.5_ASM30255v4_genomic.fna	GCF_000302555.5	GCF_000302555.5_protein	#50C878
GCF_000304375.1_AINO_genomic.fna	GCF_000304375.1	GCF_000304375.1_protein	#50C878
GCF_000306845.1_ASM30684v1_genomic.fna	GCF_000306845.1	GCF_000306845.1_protein	#50C878
GCF_000306865.1_ASM30686v1_genomic.fna	GCF_000306865.1	GCF_000306865.1_protein	#50C878
GCF_000317875.1_ASM31787v1_genomic.fna	GCF_000317875.1	GCF_000317875.1_protein	#50C878
GCF_000328545.1_ASM32854v1_genomic.fna	GCF_000328545.1	GCF_000328545.1_protein	#50C878
GCF_000331185.2_ASM33118v2_genomic.fna	GCF_000331185.2	GCF_000331185.2_protein	#50C878
GCF_000344765.1_ASM34476v1_genomic.fna	GCF_000344765.1	GCF_000344765.1_protein	#50C878
GCF_000347595.1_ASM34759v1_genomic.fna	GCF_000347595.1	GCF_000347595.1_protein	#50C878
GCF_000347615.1_ASM34761v1_genomic.fna	GCF_000347615.1	GCF_000347615.1_protein	#50C878
GCF_000348565.1_ASM34856v1_genomic.fna	GCF_000348565.1	GCF_000348565.1_protein	#50C878
GCF_000349765.2_ASM34976v2_genomic.fna	GCF_000349765.2	GCF_000349765.2_protein	#50C878
GCF_000349785.2_ASM34978v2_genomic.fna	GCF_000349785.2	GCF_000349785.2_protein	#50C878
GCF_000359525.1_ASM35952v1_genomic.fna	GCF_000359525.1	GCF_000359525.1_protein	#50C878
GCF_000364805.1_ASM36480v1_genomic.fna	GCF_000364805.1	GCF_000364805.1_protein	#50C878
GCF_000376645.1_ASM37664v1_genomic.fna	GCF_000376645.1	GCF_000376645.1_protein	#50C878
GCF_000385945.1_ASM38594v1_genomic.fna	GCF_000385945.1	GCF_000385945.1_protein	#50C878
GCF_000390245.1_ASM39024v1_genomic.fna	GCF_000390245.1	GCF_000390245.1_protein	#50C878
GCF_000401175.1_ASM40117v1_genomic.fna	GCF_000401175.1	GCF_000401175.1_protein	#50C878
GCF_000404245.1_ASM40424v1_genomic.fna	GCF_000404245.1	GCF_000404245.1_protein	#50C878
GCF_000419405.1_ASM41940v1_genomic.fna	GCF_000419405.1	GCF_000419405.1_protein	#50C878
GCF_000419425.1_ASM41942v1_genomic.fna	GCF_000419425.1	GCF_000419425.1_protein	#50C878
GCF_000422095.1_ASM42209v1_genomic.fna	GCF_000422095.1	GCF_000422095.1_protein	#50C878
GCF_000422145.1_ASM42214v1_genomic.fna	GCF_000422145.1	GCF_000422145.1_protein	#50C878
GCF_000427035.1_09mas018883_genomic.fna	GCF_000427035.1	GCF_000427035.1_protein	#50C878
GCF_000427075.1_ILRI005_genomic.fna	GCF_000427075.1	GCF_000427075.1_protein	#50C878
GCF_000430385.1_ASM43038v1_genomic.fna	GCF_000430385.1	GCF_000430385.1_protein	#50C878
GCF_000439255.1_ASM43925v1_genomic.fna	GCF_000439255.1	GCF_000439255.1_protein	#50C878
GCF_000439735.1_ASM43973v1_genomic.fna	GCF_000439735.1	GCF_000439735.1_protein	#50C878
GCF_000444875.1_ASM44487v1_genomic.fna	GCF_000444875.1	GCF_000444875.1_protein	#50C878
GCF_000465255.1_ASM46525v1_genomic.fna	GCF_000465255.1	GCF_000465255.1_protein	#50C878
GCF_000466065.2_ASM46606v2_genomic.fna	GCF_000466065.2	GCF_000466065.2_protein	#50C878
GCF_000466075.2_ASM46607v2_genomic.fna	GCF_000466075.2	GCF_000466075.2_protein	#50C878
GCF_000466105.2_ASM46610v2_genomic.fna	GCF_000466105.2	GCF_000466105.2_protein	#50C878
GCF_000466925.3_ASM46692v3_genomic.fna	GCF_000466925.3	GCF_000466925.3_protein	#50C878
GCF_000468915.2_ASM46891v2_genomic.fna	GCF_000468915.2	GCF_000468915.2_protein	#50C878
GCF_000493595.2_EcoPMV1_genomic.fna	GCF_000493595.2	GCF_000493595.2_protein	#50C878
GCF_000494895.1_ASM49489v1_genomic.fna	GCF_000494895.1	GCF_000494895.1_protein	#50C878
GCF_000495635.2_GB94_v2_genomic.fna	GCF_000495635.2	GCF_000495635.2_protein	#50C878
GCF_000512395.1_ASM51239v1_genomic.fna	GCF_000512395.1	GCF_000512395.1_protein	#50C878
GCF_000521605.1_ASM52160v1_genomic.fna	GCF_000521605.1	GCF_000521605.1_protein	#50C878
GCF_000521655.1_ASM52165v1_genomic.fna	GCF_000521655.1	GCF_000521655.1_protein	#50C878
GCF_000521685.1_ASM52168v1_genomic.fna	GCF_000521685.1	GCF_000521685.1_protein	#50C878
GCF_000521695.1_ASM52169v1_genomic.fna	GCF_000521695.1	GCF_000521695.1_protein	#50C878
GCF_000521725.1_ASM52172v1_genomic.fna	GCF_000521725.1	GCF_000521725.1_protein	#50C878
GCF_000521745.1_ASM52174v1_genomic.fna	GCF_000521745.1	GCF_000521745.1_protein	#50C878
GCF_000521765.1_ASM52176v1_genomic.fna	GCF_000521765.1	GCF_000521765.1_protein	#50C878
GCF_000583775.1_ASM58377v1_genomic.fna	GCF_000583775.1	GCF_000583775.1_protein	#50C878
GCF_000695235.1_ASM69523v1_genomic.fna	GCF_000695235.1	GCF_000695235.1_protein	#50C878
GCF_000698365.1_ASM69836v1_genomic.fna	GCF_000698365.1	GCF_000698365.1_protein	#50C878
GCF_000709535.1_ASM70953v1_genomic.fna	GCF_000709535.1	GCF_000709535.1_protein	#50C878
GCF_000722765.2_ASM72276v2_genomic.fna	GCF_000722765.2	GCF_000722765.2_protein	#50C878
GCF_000730215.1_ASM73021v2_genomic.fna	GCF_000730215.1	GCF_000730215.1_protein	#50C878
GCF_000730255.1_ASM73025v1_genomic.fna	GCF_000730255.1	GCF_000730255.1_protein	#50C878
GCF_000739105.1_ASM73910v1_genomic.fna	GCF_000739105.1	GCF_000739105.1_protein	#50C878
GCF_000739435.1_ASM73943v1_genomic.fna	GCF_000739435.1	GCF_000739435.1_protein	#50C878
GCF_000740985.1_ASM74098v1_genomic.fna	GCF_000740985.1	GCF_000740985.1_protein	#50C878
GCF_000742795.1_ASM74279v1_genomic.fna	GCF_000742795.1	GCF_000742795.1_protein	#50C878
GCF_000743945.1_ASM74394v1_genomic.fna	GCF_000743945.1	GCF_000743945.1_protein	#50C878
GCF_000746665.1_ASM74666v1_genomic.fna	GCF_000746665.1	GCF_000746665.1_protein	#50C878
GCF_000747295.1_ASM74729v1_genomic.fna	GCF_000747295.1	GCF_000747295.1_protein	#50C878
GCF_000754275.1_ASM75427v1_genomic.fna	GCF_000754275.1	GCF_000754275.1_protein	#50C878
GCF_000759575.2_ASM75957v2_genomic.fna	GCF_000759575.2	GCF_000759575.2_protein	#50C878
GCF_000761215.1_ASM76121v1_genomic.fna	GCF_000761215.1	GCF_000761215.1_protein	#50C878
GCF_000767075.1_ASM76707v1_genomic.fna	GCF_000767075.1	GCF_000767075.1_protein	#50C878
GCF_000770115.1_ASM77011v2_genomic.fna	GCF_000770115.1	GCF_000770115.1_protein	#50C878
GCF_000772045.1_ASM77204v1_genomic.fna	GCF_000772045.1	GCF_000772045.1_protein	#50C878
GCF_000782855.1_ASM78285v1_genomic.fna	GCF_000782855.1	GCF_000782855.1_protein	#50C878
GCF_000787195.2_ASM78719v2_genomic.fna	GCF_000787195.2	GCF_000787195.2_protein	#50C878
GCF_000800235.1_ASM80023v1_genomic.fna	GCF_000800235.1	GCF_000800235.1_protein	#50C878
GCF_000800275.1_ASM80027v1_genomic.fna	GCF_000800275.1	GCF_000800275.1_protein	#50C878
GCF_000800315.1_ASM80031v1_genomic.fna	GCF_000800315.1	GCF_000800315.1_protein	#50C878
GCF_000800355.1_ASM80035v1_genomic.fna	GCF_000800355.1	GCF_000800355.1_protein	#50C878
GCF_000801145.1_ASM80114v1_genomic.fna	GCF_000801145.1	GCF_000801145.1_protein	#50C878
GCF_000802245.2_ASM80224v2_genomic.fna	GCF_000802245.2	GCF_000802245.2_protein	#50C878
GCF_000816025.1_ASM81602v1_genomic.fna	GCF_000816025.1	GCF_000816025.1_protein	#50C878
GCF_000816185.1_ASM81618v1_genomic.fna	GCF_000816185.1	GCF_000816185.1_protein	#50C878
GCF_000816265.1_ASM81626v1_genomic.fna	GCF_000816265.1	GCF_000816265.1_protein	#50C878
GCF_000816305.1_ASM81630v1_genomic.fna	GCF_000816305.1	GCF_000816305.1_protein	#50C878
GCF_000816465.3_ASM81646v4_genomic.fna	GCF_000816465.3	GCF_000816465.3_protein	#50C878
GCF_000817935.1_ASM81793v1_genomic.fna	GCF_000817935.1	GCF_000817935.1_protein	#50C878
GCF_000819525.2_ASM81952v2_genomic.fna	GCF_000819525.2	GCF_000819525.2_protein	#50C878
GCF_000828615.1_ASM82861v1_genomic.fna	GCF_000828615.1	GCF_000828615.1_protein	#50C878
GCF_000829015.1_ASM82901v1_genomic.fna	GCF_000829015.1	GCF_000829015.1_protein	#50C878
GCF_000830005.1_ASM83000v1_genomic.fna	GCF_000830005.1	GCF_000830005.1_protein	#50C878
GCF_000830775.1_ASM83077v1_genomic.fna	GCF_000830775.1	GCF_000830775.1_protein	#50C878
GCF_000830805.1_ASM83080v1_genomic.fna	GCF_000830805.1	GCF_000830805.1_protein	#50C878
GCF_000830825.1_ASM83082v1_genomic.fna	GCF_000830825.1	GCF_000830825.1_protein	#50C878
GCF_000830845.1_ASM83084v1_genomic.fna	GCF_000830845.1	GCF_000830845.1_protein	#50C878
GCF_000830865.1_ASM83086v1_genomic.fna	GCF_000830865.1	GCF_000830865.1_protein	#50C878
GCF_000831105.1_ASM83110v1_genomic.fna	GCF_000831105.1	GCF_000831105.1_protein	#50C878
GCF_000831125.1_ASM83112v1_genomic.fna	GCF_000831125.1	GCF_000831125.1_protein	#50C878
GCF_000831145.1_ASM83114v1_genomic.fna	GCF_000831145.1	GCF_000831145.1_protein	#50C878
GCF_000835285.1_ASM83528v1_genomic.fna	GCF_000835285.1	GCF_000835285.1_protein	#50C878
GCF_000835305.1_ASM83530v1_genomic.fna	GCF_000835305.1	GCF_000835305.1_protein	#50C878
GCF_000835345.1_ASM83534v1_genomic.fna	GCF_000835345.1	GCF_000835345.1_protein	#50C878
GCF_000835365.1_ASM83536v1_genomic.fna	GCF_000835365.1	GCF_000835365.1_protein	#50C878
GCF_000931445.1_ASM93144v1_genomic.fna	GCF_000931445.1	GCF_000931445.1_protein	#50C878
GCF_000931575.1_ASM93157v1_genomic.fna	GCF_000931575.1	GCF_000931575.1_protein	#50C878
GCF_000931605.1_ASM93160v1_genomic.fna	GCF_000931605.1	GCF_000931605.1_protein	#50C878
GCF_000931625.1_ASM93162v1_genomic.fna	GCF_000931625.1	GCF_000931625.1_protein	#50C878
GCF_000935185.3_ASM93518v3_genomic.fna	GCF_000935185.3	GCF_000935185.3_protein	#50C878
GCF_000963635.1_ASM96363v1_genomic.fna	GCF_000963635.1	GCF_000963635.1_protein	#50C878
GCF_000963675.1_ASM96367v1_genomic.fna	GCF_000963675.1	GCF_000963675.1_protein	#50C878
GCF_000968335.1_ASM96833v1_genomic.fna	GCF_000968335.1	GCF_000968335.1_protein	#50C878
GCF_000968515.1_ASM96851v1_genomic.fna	GCF_000968515.1	GCF_000968515.1_protein	#50C878
GCF_000969315.2_ASM96931v2_genomic.fna	GCF_000969315.2	GCF_000969315.2_protein	#50C878
GCF_000973565.1_ASM97356v1_genomic.fna	GCF_000973565.1	GCF_000973565.1_protein	#50C878
GCF_000993745.1_ASM99374v1_genomic.fna	GCF_000993745.1	GCF_000993745.1_protein	#50C878
GCF_001011035.1_ASM101103v1_genomic.fna	GCF_001011035.1	GCF_001011035.1_protein	#50C878
GCF_001021595.1_ASM102159v1_genomic.fna	GCF_001021595.1	GCF_001021595.1_protein	#50C878
GCF_001026925.1_ASM102692v1_genomic.fna	GCF_001026925.1	GCF_001026925.1_protein	#50C878
GCF_001029815.1_ASM102981v1_genomic.fna	GCF_001029815.1	GCF_001029815.1_protein	#50C878
GCF_001029835.1_ASM102983v1_genomic.fna	GCF_001029835.1	GCF_001029835.1_protein	#50C878
GCF_001186215.2_ASM118621v2_genomic.fna	GCF_001186215.2	GCF_001186215.2_protein	#50C878
GCF_001244315.1_ASM124431v1_genomic.fna	GCF_001244315.1	GCF_001244315.1_protein	#50C878
GCF_001266755.1_ASM126675v1_genomic.fna	GCF_001266755.1	GCF_001266755.1_protein	#50C878
GCF_001267885.1_ASM126788v1_genomic.fna	GCF_001267885.1	GCF_001267885.1_protein	#50C878
GCF_001272635.1_ASM127263v1_genomic.fna	GCF_001272635.1	GCF_001272635.1_protein	#50C878
GCF_001278075.1_ASM127807v1_genomic.fna	GCF_001278075.1	GCF_001278075.1_protein	#50C878
GCF_001278095.1_ASM127809v1_genomic.fna	GCF_001278095.1	GCF_001278095.1_protein	#50C878
GCF_001280325.1_ASM128032v1_genomic.fna	GCF_001280325.1	GCF_001280325.1_protein	#50C878
GCF_001280345.1_ASM128034v1_genomic.fna	GCF_001280345.1	GCF_001280345.1_protein	#50C878
GCF_001280385.1_ASM128038v1_genomic.fna	GCF_001280385.1	GCF_001280385.1_protein	#50C878
