Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
100226	100226	Streptomyces coelicolor A3(2)		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces coelicolor	1902	FALSE
1002546	1002546	uncultured Cohaesibacter sp.		SPECIES				no	a-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Alphaproteobacteria	28211	Hyphomicrobiales	356	Cohaesibacteraceae	655351	Cohaesibacter	655352	uncultured Cohaesibacter sp.	1002546	FALSE
1004951	1004951	Streptococcus suis ST1		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus suis	1307	FALSE
1005041	1005041	Streptococcus suis SS12		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus suis	1307	FALSE
1031564	1031564	Campylobacter insulaenigrae NCTC 12927		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter insulaenigrae	260714	FALSE
1031733	1031733	Campylobacter upsaliensis RM3940		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter upsaliensis	28080	FALSE
1032067	1032067	Campylobacter mucosalis CCUG 21559		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter mucosalis	202	FALSE
1032242	1032242	Campylobacter molothri	Miller et al. 2025	SPECIES				yes	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter molothri	1032242	TRUE
1032623	1032623	Otariodibacter oris	Hansen et al. 2012	SPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Otariodibacter	1249016	Otariodibacter oris	1032623	TRUE
1038928	1038928	Streptomyces xinghaiensis	Zhao et al. 2009	SPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces xinghaiensis	1038928	TRUE
1038929	1038929	Streptomyces xinghaiensis S187		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces xinghaiensis	1038928	FALSE
104336	104336	Microbacterium foliorum	Behrendt et al. 2001	SPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Micrococcales	85006	Microbacteriaceae	85023	Microbacterium	33882	Microbacterium foliorum	104336	TRUE
1048205	1048205	Streptomyces uncialis	Williams et al. 2008	SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces uncialis	1048205	FALSE
1055528	1055528	Helicobacter pylori Puno120		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Helicobacteraceae	72293	Helicobacter	209	Helicobacter pylori	210	FALSE
1055529	1055529	Helicobacter pylori Puno135		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Helicobacteraceae	72293	Helicobacter	209	Helicobacter pylori	210	FALSE
1055532	1055532	Helicobacter pylori Aklavik86		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Helicobacteraceae	72293	Helicobacter	209	Helicobacter pylori	210	FALSE
1071983	1071983	Legionella cardiaca	Pearce et al. 2012	SPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Legionellales	118969	Legionellaceae	444	Legionella	445	Legionella cardiaca	1071983	TRUE
1072685	1072685	Basilea psittacipulmonis DSM 24701		STRAIN				no	b-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Betaproteobacteria	28216	Burkholderiales	80840	Alcaligenaceae	506	Basilea	1472344	Basilea psittacipulmonis	1472345	FALSE
1075089	1075089	Pasteurella multocida 36950		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	FALSE
1076588	1076588	Thiolapillus brandeum	Nunoura et al. 2015	SPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Chromatiales	135613	Sedimenticolaceae	3067276	Thiolapillus	1608298	Thiolapillus brandeum	1076588	TRUE
1077946	1077946	Streptomyces hundungensis	Nimaichand et al. 2013	SPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces hundungensis	1077946	TRUE
1079985	1079985	Streptomyces chartreusis NRRL 3882		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces chartreusis	1969	FALSE
109472	109472	Bisgaardia hudsonensis	Foster et al. 2011	SPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Bisgaardia	109471	Bisgaardia hudsonensis	109472	TRUE
1095685	1095685	Neisseria meningitidis M7124		STRAIN				no	b-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Betaproteobacteria	28216	Neisseriales	206351	Neisseriaceae	481	Neisseria	482	Neisseria meningitidis	487	FALSE
1096996	1096996	Acinetobacter baumannii BJAB0715		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Moraxellales	2887326	Moraxellaceae	468	Acinetobacter	469	Acinetobacter baumannii	470	FALSE
1096997	1096997	Acinetobacter baumannii BJAB0868		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Moraxellales	2887326	Moraxellaceae	468	Acinetobacter	469	Acinetobacter baumannii	470	FALSE
1117322	1117322	Glaesserella parasuis str. Nagasaki		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Glaesserella	2094023	Glaesserella parasuis	738	FALSE
1132496	1132496	Pasteurella multocida subsp. multocida str. HN06		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	FALSE
114686	114686	Streptomyces phaeoluteigriseus	Goodfellow et al. 2008	SPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces phaeoluteigriseus	114686	TRUE
