target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_neuO_ncbi_40_complete$target_ID
GCF_030347095.1_protein.faa_WP_011478229.1	-	111	neuO_final_mafft	-	319	4.5e-66	221.2	7.2	1	1	1.7e-68	4.9e-66	221	7.2	143	261	1	111	1	111	0.99	-	GCF_030347095.1_protein.faa_WP_011478229.1
GCF_030347095.1_protein.faa_WP_001350624.1	-	203	neuO_final_mafft	-	319	2.2e-34	117	0.5	1	1	9.8e-37	2.8e-34	116.7	0.5	98	237	60	194	51	202	0.88	-	GCF_030347095.1_protein.faa_WP_001350624.1
GCF_030347095.1_protein.faa_WP_000102543.1	-	183	neuO_final_mafft	-	319	9.5e-32	108.4	0.4	1	1	4e-34	1.2e-31	108.1	0.4	104	225	63	182	54	183	0.93	-	GCF_030347095.1_protein.faa_WP_000102543.1
GCF_030347095.1_protein.faa_WP_001153547.1	-	182	neuO_final_mafft	-	319	1.6e-19	68.2	2.1	1	1	9.8e-22	2.9e-19	67.4	2.1	95	227	53	179	47	181	0.92	-	GCF_030347095.1_protein.faa_WP_001153547.1
GCF_020042685.1_protein.faa_WP_191135069.1	-	203	neuO_final_mafft	-	319	5e-36	121.2	0	1	1	1.9e-38	6.3e-36	120.9	0	99	233	60	192	46	201	0.9	-	GCF_020042685.1_protein.faa_WP_191135069.1
GCF_036082875.1_protein.faa_WP_328542993.1	-	194	neuO_final_mafft	-	319	6.2e-31	106.7	0	1	1	5.6e-34	7.6e-31	106.4	0	105	225	75	193	66	194	0.93	-	GCF_036082875.1_protein.faa_WP_328542993.1
GCF_036082875.1_protein.faa_WP_327576951.1	-	254	neuO_final_mafft	-	319	9.9e-26	89.6	0.4	1	2	0.21	280	-0.6	0	136	152	67	83	54	86	0.87	-	GCF_036082875.1_protein.faa_WP_327576951.1
GCF_036082875.1_protein.faa_WP_328543029.1	-	215	neuO_final_mafft	-	319	6.1e-16	57.4	0.1	1	2	2	2700	-3.8	0	135	148	62	75	55	83	0.64	-	GCF_036082875.1_protein.faa_WP_328543029.1
GCF_949789875.1_protein.faa_WP_000136509.1	-	182	neuO_final_mafft	-	319	1.9e-32	109.6	0.1	1	1	4.8e-35	2.1e-32	109.5	0.1	100	225	57	180	22	182	0.93	-	GCF_949789875.1_protein.faa_WP_000136509.1
GCF_949789875.1_protein.faa_WP_000146565.1	-	212	neuO_final_mafft	-	319	5.4e-22	75.2	6.5	1	1	4.9e-24	2.1e-21	73.3	6.6	170	225	106	161	33	211	0.84	-	GCF_949789875.1_protein.faa_WP_000146565.1
