target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsD_ncbi_40_complete$target_ID
GCF_022220325.1_protein.faa_WP_002901014.1	-	552	kpsD_final_mafft	-	594	1.4e-179	595	15.3	1	1	8.7e-183	1.5e-179	594.9	15.3	49	579	1	552	1	552	0.89	-	GCF_022220325.1_protein.faa_WP_002901014.1
GCF_000014845.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.9e-186	618.2	1.3	1	1	2.6e-189	4.3e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_000014845.1_protein.faa_WP_001331697.1
GCF_000014845.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	5e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_000014845.1_protein.faa_WP_000978094.1
GCF_021733105.1_protein.faa_WP_012848788.1	-	183	kpsD_final_mafft	-	594	8.5e-24	81.4	0	1	1	5.1e-27	1.7e-23	80.5	0	129	285	32	179	20	181	0.91	-	GCF_021733105.1_protein.faa_WP_012848788.1
GCF_026409365.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1.1e-37	126.8	0.4	1	1	1.6e-40	1.8e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_026409365.1_protein.faa_WP_010906973.1
GCF_001721965.1_protein.faa_WP_002894124.1	-	552	kpsD_final_mafft	-	594	8e-179	592.4	15.3	1	1	5.5e-182	9e-179	592.2	15.3	49	579	1	552	1	552	0.9	-	GCF_001721965.1_protein.faa_WP_002894124.1
GCF_028898825.1_protein.faa_WP_274876574.1	-	890	kpsD_final_mafft	-	594	3e-147	489.8	13.3	1	2	9e-102	1.2e-98	329.3	8.3	58	443	13	495	1	554	0.74	-	GCF_028898825.1_protein.faa_WP_274876574.1
GCF_028898825.1_protein.faa_WP_274876873.1	-	699	kpsD_final_mafft	-	594	1e-97	326.2	8.5	1	6	2.5e-38	3.2e-35	119.8	1.5	129	286	24	181	16	195	0.92	-	GCF_028898825.1_protein.faa_WP_274876873.1
GCF_028898825.1_protein.faa_WP_274877313.1	-	373	kpsD_final_mafft	-	594	7.3e-42	141.8	1.1	1	1	7.6e-45	9.8e-42	141.3	1.1	121	365	70	341	33	351	0.88	-	GCF_028898825.1_protein.faa_WP_274877313.1
GCF_028898825.1_protein.faa_WP_005453398.1	-	177	kpsD_final_mafft	-	594	6.4e-21	72.6	0.6	1	1	8.4e-24	1.1e-20	71.8	0.6	120	265	18	164	12	174	0.89	-	GCF_028898825.1_protein.faa_WP_005453398.1
GCF_013883595.1_protein.faa_WP_096756579.1	-	379	kpsD_final_mafft	-	594	4.2e-35	119.2	2.4	1	1	7.6e-38	1.1e-34	117.8	2.4	130	363	83	346	65	355	0.86	-	GCF_013883595.1_protein.faa_WP_096756579.1
GCF_013883595.1_protein.faa_WP_096756031.1	-	185	kpsD_final_mafft	-	594	2.2e-30	103.6	0.1	1	2	5.4e-19	7.6e-16	55.6	0	128	206	32	113	20	115	0.92	-	GCF_013883595.1_protein.faa_WP_096756031.1
GCF_033129285.1_protein.faa_WP_052794282.1	-	552	kpsD_final_mafft	-	594	5.3e-180	596.4	14.6	1	1	3.4e-183	6e-180	596.3	14.6	49	579	1	552	1	552	0.9	-	GCF_033129285.1_protein.faa_WP_052794282.1
GCF_020719705.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020719705.1_protein.faa_WP_002855298.1
GCF_029855145.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	3.4e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_029855145.1_protein.faa_WP_001298258.1
GCF_029855145.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5.1e-34	115.7	2.9	1	1	1.1e-36	1.3e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_029855145.1_protein.faa_WP_000978098.1
GCF_023587625.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8.3e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_023587625.1_protein.faa_WP_005723127.1
GCF_028609705.1_protein.faa_WP_140392077.1	-	890	kpsD_final_mafft	-	594	8.1e-149	494.8	11.5	1	2	7.2e-103	8.5e-100	333	6.6	57	443	12	495	1	554	0.75	-	GCF_028609705.1_protein.faa_WP_140392077.1
GCF_028609705.1_protein.faa_WP_229626319.1	-	688	kpsD_final_mafft	-	594	1.5e-94	315.6	10.9	1	5	4.9e-35	5.8e-32	109	3.2	129	287	13	171	8	186	0.92	-	GCF_028609705.1_protein.faa_WP_229626319.1
GCF_028609705.1_protein.faa_WP_140391568.1	-	373	kpsD_final_mafft	-	594	1.2e-40	137.6	0.3	1	1	1.6e-43	1.9e-40	137	0.3	127	365	77	341	61	351	0.87	-	GCF_028609705.1_protein.faa_WP_140391568.1
GCF_028609705.1_protein.faa_WP_005463089.1	-	177	kpsD_final_mafft	-	594	6.8e-20	69.1	0.8	1	1	2.1e-22	2.5e-19	67.2	0.7	115	258	15	157	11	171	0.88	-	GCF_028609705.1_protein.faa_WP_005463089.1
GCF_018139065.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8.2e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_018139065.1_protein.faa_WP_005723127.1
GCF_949282045.1_protein.faa_WP_002781121.1	-	552	kpsD_final_mafft	-	594	4.1e-180	596.7	15	1	1	2.7e-183	4.6e-180	596.6	15	49	579	1	552	1	552	0.9	-	GCF_949282045.1_protein.faa_WP_002781121.1
