user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR1018185_M2-Pk008A.SZAXPI003409-8_bin.84	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	GCA_025758045.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	98.44	0.845	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963588145.1, s__Gemmiger sp963588145, 95.0, 89.78, 0.501; GCA_963655125.1, s__Gemmiger sp963655125, 95.0, 90.64, 0.565; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 88.34, 0.446	N/A	N/A	N/A	N/A
ERR1018186_M122A.SZAXPI003410-3_bin.46	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.75	0.842	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.18, 0.253; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.33, 0.365; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.24, 0.391; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.1, 0.307	N/A	N/A	N/A	N/A
ERR1018187_M2-Pk010A.SZAXPI003411-6_bin.45	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.97	0.905	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.49, 0.407; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.7, 0.386; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.26, 0.309; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.16, 0.255	N/A	N/A	N/A	N/A
ERR1018188_M2-Pk014A.SZAXPI003412-1_bin.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	GCF_000233955.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	98.0	0.876	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000205165.1, s__Paraprevotella xylaniphila, 95.0, 92.55, 0.683	N/A	N/A	N/A	N/A
ERR1018188_M2-Pk014A.SZAXPI003412-1_bin.42	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	98.05	0.907	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.48, 0.316; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.44, 0.289; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.51, 0.416; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.3, 0.419	N/A	N/A	N/A	N/A
ERR1018188_M2-Pk014A.SZAXPI003412-1_bin.48	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	GCF_025147765.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	98.49	0.837	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963622815.1, s__Blautia_A sp963622815, 95.0, 86.74, 0.269; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 84.16, 0.172; GCA_963597235.1, s__Blautia_A sp963597235, 95.0, 86.09, 0.251; GCF_934424005.1, s__Blautia_A sp934424005, 95.25, 95.22, 0.658; GCF_934372025.1, s__Blautia_A sp934372025, 95.0, 85.08, 0.215; GCF_040096655.1, s__Blautia_A intestinihominis, 95.0, 84.86, 0.151; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 84.12, 0.176; GCA_934378195.1, s__Blautia_A sp934378195, 95.0, 86.02, 0.287; GCF_018918125.1, s__Blautia_A sp018918125, 95.0, 84.9, 0.205; GCF_014297355.1, s__Blautia_A intestinalis, 95.0, 84.62, 0.177	N/A	N/A	N/A	N/A
ERR1018188_M2-Pk014A.SZAXPI003412-1_bin.75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	GCF_000210075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	97.85	0.672	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 83.52, 0.154; GCF_958387885.1, s__Bacteroides sp019412865, 95.22, 91.35, 0.524; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 85.51, 0.185; GCF_012113595.1, s__Bacteroides faecium, 95.0, 84.56, 0.172; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 84.5, 0.192; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 86.79, 0.223; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.83, 83.88, 0.158; GCF_001688725.2, s__Bacteroides caecimuris, 95.89, 91.7, 0.446; GCF_902491285.1, s__Bacteroides sp902491285, 95.0, 83.5, 0.153; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 89.87, 0.365; GCA_948742525.1, s__Bacteroides caecimuris_A, 95.0, 93.91, 0.477; GCF_041227145.1, s__Bacteroides sp041227145, 95.0, 85.58, 0.276; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 93.65, 0.576; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 85.26, 0.162; GCA_019117555.1, s__Bacteroides intestinigallinarum, 95.0, 89.44, 0.456; GCF_034291875.1, s__Bacteroides vicugnae, 95.0, 89.34, 0.435; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 93.51, 0.271; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 84.18, 0.161; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 92.82, 0.513; GCA_030295565.1, s__Bacteroides finegoldii, 95.0, 84.87, 0.175	N/A	N/A	N/A	N/A
ERR1018189_M2-Pk001A.SZAXPI003413-4_bin.52	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.93	0.884	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.78, 0.352; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.68, 0.305; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.86, 0.375; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.81, 0.241	N/A	N/A	N/A	N/A
ERR1018190_M2-Pk013A.SZAXPI003414-3_bin.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.02	0.866	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.18, 0.743; GCF_000759835.1, s__Citrobacter_A sedlakii, 95.0, 82.26, 0.154; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.85, 0.678; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 83.44, 0.166; GCF_018323885.1, s__Citrobacter_A amalonaticus, 95.0, 82.59, 0.156; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 92.01, 0.513; GCF_031323975.1, s__Escherichia ruysiae, 95.0, 92.88, 0.744; GCA_011881725.1, s__Escherichia coli_E, 95.0, 91.93, 0.719; GCF_036503815.1, s__Escherichia coli_F, 95.84, 96.08, 0.876; GCF_018252635.1, s__Citrobacter_A amalonaticus_E, 95.0, 82.69, 0.155; GCF_001559075.2, s__Citrobacter_A amalonaticus_F, 95.0, 82.77, 0.166; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.0, 0.585; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.4, 0.679; GCF_000981805.1, s__Citrobacter_A amalonaticus_C, 95.0, 82.76, 0.16; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.7, 0.733; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 82.42, 0.15; GCA_009363175.1, s__Citrobacter_A telavivensis, 95.0, 82.5, 0.16; GCF_019048065.1, s__Citrobacter_A farmeri, 95.0, 82.87, 0.154; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.97, 0.753; GCA_028994555.1, s__Citrobacter_A amalonaticus_G, 95.0, 82.82, 0.164	N/A	N/A	N/A	N/A
ERR1018194_M2-Pk017A.SZAXPI003418-8_bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_964248265.1, s__Phocaeicola vulgatus, 95.21, 99.47, 0.214; GCF_013009555.1, s__Phocaeicola dorei, 95.0, 96.26, 0.182	17.53	11	0.98796	N/A
