GCF_000006825.1_protein.faa_WP_010907055.1	-	303	CST-I	PF06002.18	295	1.6e-176	582.8	14.1	1	1	8.8e-180	1.8e-176	582.6	14.1	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_000006865.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0054	13.2	0.3	1	1	2.4e-06	0.0054	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Bacilli]
GCF_000009085.1_protein.faa_YP_002344533.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	alpha-2,3	sialyltransferase	[Campylobacter	jejuni	subsp.	jejuni	NCTC	11168	=	ATCC	700819]
GCF_000009305.1_protein.faa_WP_011578110.1	-	395	CST-I	PF06002.18	295	1.2e-43	146.0	11.2	1	1	7.6e-46	5.2e-43	143.9	11.2	3	226	6	219	4	229	0.87	alpha-2,3-sialyltransferase	[Helicobacter	acinonychis]
GCF_000009305.1_protein.faa_WP_011578111.1	-	422	CST-I	PF06002.18	295	1.4e-37	126.0	9.1	1	2	2.1e-40	1.4e-37	126.0	9.1	3	253	8	249	6	278	0.77	alpha-2,3-sialyltransferase	[Helicobacter	acinonychis]
GCF_000009305.1_protein.faa_WP_011578111.1	-	422	CST-I	PF06002.18	295	1.4e-37	126.0	9.1	2	2	0.14	98	-1.4	0.3	179	179	317	317	256	379	0.63	alpha-2,3-sialyltransferase	[Helicobacter	acinonychis]
GCF_000012185.1_protein.faa_WP_011272254.1	-	326	CST-I	PF06002.18	295	5.2e-111	367.5	15.3	1	1	7e-114	6.2e-111	367.3	15.3	1	295	32	320	32	320	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000012185.1_protein.faa_WP_011271998.1	-	320	CST-I	PF06002.18	295	2.6e-107	355.4	16.0	1	1	3.5e-110	3.1e-107	355.1	16.0	1	294	27	316	27	317	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000015525.1_protein.faa_WP_002869021.1	-	291	CST-I	PF06002.18	295	9.8e-109	359.9	25.6	1	1	6.7e-112	1.1e-108	359.8	25.6	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000015865.1_protein.faa_WP_003515651.1	-	206	CST-I	PF06002.18	295	0.00013	19.0	2.9	1	1	5.8e-08	0.00018	18.6	2.9	161	282	22	143	18	152	0.70	regulatory	protein	RecX	[Acetivibrio	thermocellus]
GCF_000020485.1_protein.faa_WP_012636071.1	-	279	CST-I	PF06002.18	295	0.00051	16.7	0.9	1	1	3.2e-07	0.00077	16.1	0.9	93	217	136	264	111	275	0.79	DegV	family	protein	[Halothermothrix	orenii]
GCF_000025045.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0061	13.2	0.3	1	1	2.4e-06	0.0061	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_000025425.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000091985.1_protein.faa_WP_013022958.1	-	281	CST-I	PF06002.18	295	1.7e-68	227.6	2.1	1	1	1.6e-71	2.2e-68	227.2	2.1	2	252	5	246	4	250	0.92	alpha-2,3-sialyltransferase	[Helicobacter	mustelae]
GCF_000148895.1_protein.faa_WP_001035977.1	-	393	CST-I	PF06002.18	295	1.1e-43	146.3	9.0	1	1	6.6e-46	9.7e-43	143.1	9.0	3	227	6	220	4	231	0.85	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000148915.1_protein.faa_WP_001035974.1	-	369	CST-I	PF06002.18	295	3.7e-45	151.0	8.6	1	1	1.7e-47	1.2e-44	149.3	8.6	3	227	6	220	4	230	0.86	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000148915.1_protein.faa_WP_000743105.1	-	349	CST-I	PF06002.18	295	3e-37	125.0	9.5	1	1	1.6e-39	1.1e-36	123.2	8.0	3	250	5	243	3	273	0.77	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000165525.1_protein.faa_WP_020909959.1	-	326	CST-I	PF06002.18	295	2.7e-107	355.3	16.0	1	1	1.9e-110	3.3e-107	355.0	16.0	1	294	33	322	33	323	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000165575.1_protein.faa_WP_014550453.1	-	332	CST-I	PF06002.18	295	2.7e-108	358.5	18.2	1	1	2e-111	3.3e-108	358.2	18.2	1	294	41	328	41	329	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000184925.1_protein.faa_WP_003515651.1	-	206	CST-I	PF06002.18	295	0.00012	19.0	2.9	1	1	5.8e-08	0.00017	18.6	2.9	161	282	22	143	18	152	0.70	regulatory	protein	RecX	[Acetivibrio	thermocellus]
GCF_000185885.1_protein.faa_WP_015729203.1	-	120	CST-I	PF06002.18	295	0.00067	16.3	0.4	1	1	3.2e-07	0.00076	16.2	0.4	146	222	23	96	10	110	0.85	hypothetical	protein	[Staphylococcus	pseudintermedius]
GCF_000186265.1_protein.faa_WP_041557556.1	-	168	CST-I	PF06002.18	295	0.035	11.5	1.9	1	1	1.1e-05	0.045	11.1	1.5	56	131	80	152	56	156	0.88	hypothetical	protein	[Cellulophaga	algicola]
GCF_000192705.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0057	13.2	0.3	1	1	2.4e-06	0.0057	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Bacilli]
GCF_000197875.1_protein.faa_WP_013525565.1	-	322	CST-I	PF06002.18	295	2.1e-110	365.6	18.0	1	1	1.4e-113	2.5e-110	365.3	18.0	1	294	31	318	31	319	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000200475.1_protein.faa_WP_013525565.1	-	322	CST-I	PF06002.18	295	2.1e-110	365.6	18.0	1	1	1.4e-113	2.5e-110	365.3	18.0	1	294	31	318	31	319	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000200595.1_protein.faa_WP_041302780.1	-	329	CST-I	PF06002.18	295	4.7e-50	167.3	1.1	1	1	2.3e-52	1.3e-49	165.9	1.1	3	274	12	278	10	282	0.83	alpha-2,3-sialyltransferase	[Helicobacter	felis]
GCF_000200595.1_protein.faa_WP_013468732.1	-	319	CST-I	PF06002.18	295	1.5e-46	155.8	6.5	1	1	1.1e-48	6e-46	153.8	6.5	3	293	6	293	4	295	0.82	alpha-2,3-sialyltransferase	[Helicobacter	felis]
GCF_000200595.1_protein.faa_WP_013468731.1	-	379	CST-I	PF06002.18	295	8.4e-44	146.8	1.0	1	2	8.1e-29	4.4e-26	88.6	0.2	3	79	15	91	13	99	0.96	alpha-2,3-sialyltransferase	[Helicobacter	felis]
GCF_000200595.1_protein.faa_WP_013468731.1	-	379	CST-I	PF06002.18	295	8.4e-44	146.8	1.0	2	2	4.9e-19	2.7e-16	56.5	0.0	89	293	128	330	118	332	0.75	alpha-2,3-sialyltransferase	[Helicobacter	felis]
GCF_000224535.1_protein.faa_WP_000743102.1	-	375	CST-I	PF06002.18	295	1.5e-44	149.1	9.0	1	1	5.9e-47	8.4e-44	146.6	9.0	3	227	5	219	3	226	0.84	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000224555.1_protein.faa_WP_001035973.1	-	370	CST-I	PF06002.18	295	1.2e-44	149.4	8.8	1	1	5.5e-47	4.1e-44	147.7	8.8	3	227	6	220	4	229	0.85	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000224555.1_protein.faa_WP_000743103.1	-	348	CST-I	PF06002.18	295	3.9e-37	124.8	10.4	1	1	1.9e-39	1.4e-36	122.9	8.8	3	250	5	243	3	273	0.77	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000234745.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.4e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha	2-3-sialyltransferase	[Pasteurella	multocida]
