Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly Stats GC Percent	Assembly Stats Total Sequence Length	Organelle Assembly Name	Organism Name	Organism Taxonomic ID	Annotation Count Gene Protein-coding
GCF_000007985.2					61	3814128		Geobacter sulfurreducens PCA	243231	3405
GCF_000009085.1					30.5	1641481		Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222	1572
GCF_000009465.1					51.5	2194961		Neisseria meningitidis FAM18	272831	1971
GCF_000012185.1					38	1914490		Haemophilus influenzae 86-028NP	281310	1785
GCF_000014105.1					51.5	2153416		Neisseria meningitidis 053442	374833	1909
GCF_000019305.1					28	4107013		Clostridium botulinum B1 str. Okra	498213	3741
GCF_000019545.1					28	4259691		Clostridium botulinum A3 str. Loch Maree	498214	3868
GCF_000021885.1	China	swine		isolated from a Glasser's disease outbreak farm	40	2269156		Glaesserella parasuis SH0165	557723	2105
GCF_000025425.1		sheep		aborted placenta	30.5	1672219		Campylobacter jejuni subsp. jejuni IA3902	567106	1648
GCF_000026345.1					50.5	5132068		Escherichia coli IAI39	585057	4616
GCF_000026965.1					51.5	2277550		Neisseria meningitidis 8013	604162	2019
GCF_000092545.1					38.5	3576470		Legionella pneumophila str. Corby	400673	3113
GCF_000092625.1					38.5	3516334		Legionella pneumophila 2300/99 Alcoy	423212	3057
GCF_000152165.1					51.5	2242947		Neisseria meningitidis alpha710	630588	2011
GCF_000165575.1					38	1819370		Haemophilus influenzae R2846	262727	1649
GCF_000191425.1					51.5	2184862		Neisseria meningitidis G2136	935599	1950
GCF_000191445.1					51.5	2240883		Neisseria meningitidis H44/76	909420	1979
GCF_000191465.1					51.5	2223518		Neisseria meningitidis M01-240149	935591	1992
GCF_000191485.1					51.5	2287777		Neisseria meningitidis M01-240355	935588	2023
GCF_000191505.1					51.5	2250449		Neisseria meningitidis M04-240196	935593	1998
GCF_000193205.1	not determined	Homo sapiens			42	2080974		Aerococcus sp. Group 1	2976812	1803
GCF_000196495.1					39	4655660		Aliivibrio salmonicida LFI1238	316275	4115
GCF_000197735.1					59.5	3918192		Glutamicibacter arilaitensis Re117	861360	3531
GCF_000200475.1					38	2007018		Haemophilus influenzae F3047	935897	1889
GCF_000200595.1					44.5	1672681		Helicobacter felis ATCC 49179	936155	1633
GCF_000210895.1					39.5	2086875		Haemophilus parainfluenzae T3T1	862965	1953
GCF_000226275.2	China: Zheijiang				39	4022275		Acinetobacter baumannii MDR-ZJ06	497978	3723
GCF_000253195.1					28	3919740		Clostridium botulinum H04402 065	941968	3379
GCF_000302555.5					30.5	1635301		Campylobacter jejuni subsp. jejuni PT14	1201032	1595
GCF_000304375.1					30.5	1641481		Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	1211776	1605
GCF_000306845.1					38.5	3492535		Legionella pneumophila subsp. pneumophila	91891	3036
GCF_000306865.1					38.5	3617686		Legionella pneumophila subsp. pneumophila	91891	3147
GCF_000348785.1					67.5	4830181		Ilumatobacter coccineus YM16-304	1313172	4235
GCF_000419405.1					39	4053889		Acinetobacter baumannii BJAB0715	1096996	3732
GCF_000466065.2	Canada	Homo sapiens		stool sample	30.5	1719369		Campylobacter jejuni subsp. jejuni 00-2538	1380768	1710
GCF_000466075.2	Canada	Homo sapiens		stool sample	30.5	1766434		Campylobacter jejuni subsp. jejuni 00-2544	1383068	1759
GCF_000466105.2	Canada	Homo sapiens		stool sample	30.5	1680813		Campylobacter jejuni subsp. jejuni 00-2426	1380767	1652
GCF_000466925.3	United Kingdom	Homo sapiens	gastroenteritis	missing	30.5	1805220		Campylobacter jejuni X	1381117	1781
GCF_000468915.2	Canada	Homo sapiens		stool sample	30.5	1718982		Campylobacter jejuni subsp. jejuni 00-2425	1357994	1710
