target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsM_ncbi_40_complete$target_ID
GCF_022026295.1_protein.faa_WP_103487138.1	-	313	kpsM_final_mafft	-	260	1.7e-44	150.3	12.8	1	1	4.9e-47	2e-44	150	12.8	3	255	45	309	43	312	0.93	-	GCF_022026295.1_protein.faa_WP_103487138.1
GCF_022026295.1_protein.faa_WP_008414590.1	-	280	kpsM_final_mafft	-	260	1.8e-20	71.5	5	1	1	5.9e-23	2.4e-20	71.1	5	38	248	53	271	48	278	0.87	-	GCF_022026295.1_protein.faa_WP_008414590.1
GCF_022026295.1_protein.faa_WP_003948328.1	-	283	kpsM_final_mafft	-	260	1e-16	59.3	2.5	1	1	4.2e-19	1.7e-16	58.5	2.5	38	220	46	237	40	281	0.85	-	GCF_022026295.1_protein.faa_WP_003948328.1
GCF_022026295.1_protein.faa_WP_061404637.1	-	266	kpsM_final_mafft	-	260	2e-14	51.7	6.9	1	1	7.9e-17	3.2e-14	51	6.9	37	222	32	220	28	262	0.77	-	GCF_022026295.1_protein.faa_WP_061404637.1
GCF_001660585.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	7.4e-107	354.3	18.6	1	1	1.1e-109	8.2e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_001660585.1_protein.faa_WP_000124301.1
GCF_001660585.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.6e-18	64.8	19.9	1	1	2.8e-21	2.2e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_001660585.1_protein.faa_WP_000972203.1
GCF_016888985.1_protein.faa_WP_011133993.1	-	251	kpsM_final_mafft	-	260	1.6e-19	68	11.8	1	1	1.4e-22	2e-19	67.7	11.8	37	247	22	241	7	248	0.85	-	GCF_016888985.1_protein.faa_WP_011133993.1
GCF_005519465.1_protein.faa_WP_003958860.1	-	309	kpsM_final_mafft	-	260	5.9e-45	152	13.1	1	1	1.2e-47	6.9e-45	151.7	13.1	3	255	44	305	42	308	0.93	-	GCF_005519465.1_protein.faa_WP_003958860.1
GCF_005519465.1_protein.faa_WP_003955215.1	-	284	kpsM_final_mafft	-	260	3.8e-18	64.1	0.3	1	1	8.7e-21	4.9e-18	63.7	0.3	9	221	21	237	15	250	0.82	-	GCF_005519465.1_protein.faa_WP_003955215.1
GCF_005519465.1_protein.faa_WP_003956611.1	-	293	kpsM_final_mafft	-	260	1e-17	62.7	8.4	1	1	3.3e-20	1.9e-17	61.8	8.4	37	253	68	291	56	293	0.85	-	GCF_005519465.1_protein.faa_WP_003956611.1
GCF_005519465.1_protein.faa_WP_003961343.1	-	339	kpsM_final_mafft	-	260	5.8e-16	56.9	5.7	1	1	1.3e-18	7.4e-16	56.6	5.7	26	245	96	324	87	335	0.83	-	GCF_005519465.1_protein.faa_WP_003961343.1
GCF_005519465.1_protein.faa_WP_003954881.1	-	289	kpsM_final_mafft	-	260	1.4e-15	55.6	2.5	1	1	3.5e-18	2e-15	55.2	2.5	38	220	52	243	48	284	0.86	-	GCF_005519465.1_protein.faa_WP_003954881.1
GCF_005519465.1_protein.faa_WP_003960531.1	-	297	kpsM_final_mafft	-	260	1.7e-14	52.1	8	1	1	3.9e-17	2.2e-14	51.8	8	39	243	75	286	70	295	0.8	-	GCF_005519465.1_protein.faa_WP_003960531.1
GCF_905071835.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	8e-107	354.3	18.6	1	1	1.1e-109	8.8e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_905071835.1_protein.faa_WP_000124301.1
GCF_905071835.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.7e-18	64.8	19.9	1	1	2.8e-21	2.3e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_905071835.1_protein.faa_WP_000972203.1
GCF_000830805.1_protein.faa_WP_002851559.1	-	260	kpsM_final_mafft	-	260	2.1e-46	154.7	32.9	1	1	1.5e-49	2.4e-46	154.5	32.9	13	257	3	255	1	257	0.92	-	GCF_000830805.1_protein.faa_WP_002851559.1
GCF_036346995.1_protein.faa_WP_266687292.1	-	309	kpsM_final_mafft	-	260	5.2e-43	145.9	15	1	1	1.2e-45	6.2e-43	145.7	15	4	255	45	305	42	308	0.94	-	GCF_036346995.1_protein.faa_WP_266687292.1
GCF_036346995.1_protein.faa_WP_266690574.1	-	313	kpsM_final_mafft	-	260	3e-39	133.6	10.1	1	1	7.1e-42	3.6e-39	133.3	10.1	3	255	48	309	46	312	0.92	-	GCF_036346995.1_protein.faa_WP_266690574.1
GCF_036346995.1_protein.faa_WP_124718016.1	-	284	kpsM_final_mafft	-	260	1.5e-18	65.7	12.3	1	1	4.7e-21	2.4e-18	65.1	12.3	37	252	57	283	31	284	0.81	-	GCF_036346995.1_protein.faa_WP_124718016.1
